id,guest_id,cabin_id,booking_date,startDate,endDate,status,totalPrice,numGuests,numNights,created_at
Form try.,afaaccf9-9568-4c94-9e6a-c2835ef12012,26,2020-09-15 07:21:16,2020-02-16,2021-03-28,checked-out,552.16,3,3,2020-08-04 13:06:47
Trip.,b039d48b-2c4d-45ff-bd13-682a7d5958d2,60,2023-05-12 11:03:23,2022-08-27,2022-01-07,unconfirmed,9355.66,8,6,2024-04-16 04:36:16
Never.,95c9829a-d383-4c55-a39e-b3938b72e74e,18,2024-05-05 17:27:48,2021-06-23,2022-09-22,unconfirmed,5856.2,10,16,2021-07-13 14:17:52
Pay.,b3d76102-e664-4a93-8cfc-6f80a9bfb657,19,2023-12-26 18:26:30,2021-02-13,2021-02-03,checked-in,8193.68,5,16,2023-01-10 10:27:16
Course.,709cbabb-f6c5-4fd7-968d-b79f2c1eac56,99,2023-11-21 02:00:52,2023-03-31,2024-01-10,checked-out,8163.67,5,26,2020-12-23 06:43:15
Part.,8010411c-b0f0-4c53-879d-0a0308c4d98e,55,2020-10-10 22:32:52,2022-03-12,2023-01-25,checked-out,3287.4,9,5,2021-09-09 20:22:38
Here talk.,e14407f2-3a1f-4911-9a96-8742bf45dccf,8,2020-08-25 14:42:56,2020-07-01,2024-05-03,checked-out,2082.59,8,17,2022-02-10 07:07:59
Each.,d0fccb81-a8d5-4a52-95c7-43e74b669545,89,2023-11-17 23:58:37,2021-02-03,2020-01-21,checked-out,8910.8,4,26,2022-03-27 17:57:59
Do get.,b5076ce3-085e-4c8c-b80b-97db9d4e96bc,10,2022-12-24 22:47:16,2023-10-24,2023-12-15,unconfirmed,7243.9,3,14,2020-07-21 19:40:05
Be house.,0bacb33d-f0e4-421f-b836-8bd77899d32e,100,2021-01-13 14:52:48,2023-05-18,2022-05-12,checked-in,9704.12,2,12,2020-09-21 21:45:43
Rich.,607f294f-94c2-4002-9f9f-d9d7ef22dc86,53,2023-09-08 15:19:26,2020-05-25,2023-02-12,unconfirmed,9260.06,5,4,2020-02-19 10:51:51
Break.,b50d1166-30a1-4e95-a22e-d53f62eee2ad,67,2022-04-26 14:10:16,2021-04-18,2020-01-23,checked-out,9305.61,2,25,2022-07-26 19:31:23
Control.,151afbcc-bbb9-4e40-bc12-9d2bd1b4db7a,65,2020-05-17 08:01:47,2020-06-12,2021-05-19,unconfirmed,7384.34,6,2,2022-06-02 22:36:13
Contain.,681077cb-8f90-4a6d-900d-cbd7b3805073,87,2022-11-06 10:23:31,2023-04-23,2021-05-29,checked-in,266.02,7,24,2023-11-04 03:37:48
Official.,2ca848fe-736f-463d-9187-241297cffe36,8,2020-03-02 08:17:11,2024-04-15,2020-09-22,checked-in,5283.99,5,5,2022-07-19 01:43:21
Arm.,01496973-6d1e-4b0d-8659-f5405f107997,8,2020-12-25 06:39:32,2023-07-06,2022-11-08,checked-in,6932.82,1,7,2024-05-10 15:14:07
Evidence.,94664c4a-e402-4d60-a533-8efe0adc08d8,22,2022-10-19 03:59:57,2021-02-09,2021-07-15,checked-out,7597.99,10,7,2021-01-27 01:20:43
Fine.,8cd1c793-8408-4937-98f6-813375b75952,78,2023-02-22 17:13:43,2021-03-03,2022-06-13,checked-out,7795.84,9,28,2021-05-04 14:28:42
Through.,f429d037-1b8e-498d-875e-ac72f9fecdd6,76,2021-10-02 20:47:58,2023-11-19,2021-07-24,checked-in,1413.89,5,9,2023-05-01 02:45:06
Feel.,fb931a41-de6f-40e6-97a5-7ed06aa28759,80,2023-03-16 14:38:45,2021-08-12,2023-05-01,checked-out,6891.63,6,4,2023-07-01 17:27:02
Team.,367c7cfe-f1e2-43d3-97e9-234719a13ed0,96,2022-07-11 07:10:31,2023-09-12,2020-01-01,checked-out,8412.22,5,8,2020-06-21 21:57:13
Economic.,24dc87ef-0b49-457d-9538-9510a75fe091,32,2021-01-08 04:28:20,2023-08-04,2022-08-28,checked-out,9695.59,1,13,2021-08-06 01:35:27
Idea and.,4b4af14e-521f-413d-9034-6a9c09657693,30,2020-04-10 02:26:37,2023-03-30,2023-10-11,unconfirmed,3373.95,5,17,2020-05-26 14:08:04
Country.,f59cbc5c-1e22-4d2f-8a9a-927ed726c051,49,2023-06-04 20:56:52,2023-04-08,2023-06-30,unconfirmed,8462.57,7,12,2020-08-30 05:59:50
Poor.,6da2527d-5f37-40e5-9a9a-75767b3affd9,37,2023-03-29 04:16:13,2020-12-22,2022-04-13,checked-in,5281.66,7,14,2023-05-31 12:14:54
Exist.,f97ddfb7-005a-4d77-a265-3d1b7c8a8e86,31,2023-09-04 16:40:41,2023-10-11,2020-11-18,checked-out,9624.56,2,18,2023-01-27 10:41:53
Can.,1a059559-2b2f-4022-aad5-70a82680830a,24,2020-07-26 05:05:37,2024-03-11,2022-12-25,checked-in,3656.71,4,19,2020-04-16 15:43:59
Place its.,844cd56e-9cf3-4c9e-915d-244b6fcef62e,25,2021-11-08 20:44:45,2022-07-25,2024-01-30,unconfirmed,5272.39,1,26,2020-10-18 04:51:47
One whole.,e7fae482-040e-4cba-bba3-8791472efbf9,75,2022-12-12 22:26:14,2020-11-10,2020-10-19,checked-out,5874.36,7,2,2020-07-26 05:59:48
Less.,f991aac6-7e3b-4d2b-9bc0-d96a4f04a733,70,2023-06-14 01:33:10,2024-06-11,2021-12-23,checked-in,4165.69,7,21,2023-11-18 10:52:13
Couple.,ecad0be0-cb9d-4187-925b-e3d005856a27,38,2023-03-12 22:43:51,2020-12-24,2021-09-04,checked-out,7458.56,5,13,2024-03-11 23:19:03
There.,4ee8218e-89b2-4544-bc13-808b38343818,7,2022-11-10 18:49:35,2024-06-06,2021-05-25,unconfirmed,3099.8,10,18,2023-12-26 18:32:48
Which.,a60680a2-42f4-4995-9da1-631da8d86337,29,2023-11-22 00:37:20,2021-04-03,2023-10-04,checked-out,9191.65,7,21,2023-10-24 01:33:14
Spring.,f508b7e3-d45f-47f2-9c44-3bbdcd8d53fc,39,2023-05-13 18:01:51,2023-04-30,2020-11-17,checked-out,9115.4,4,22,2023-12-18 22:19:32
Four.,6b1bb7d0-a33f-4ccb-9acd-8c38bb1c795a,40,2021-12-27 21:06:34,2021-01-22,2024-07-20,checked-out,7648.51,3,20,2021-01-05 06:50:54
Stay get.,5f02d36a-04f6-4b2e-9a10-9dc8fd98b5f2,95,2021-06-16 01:22:59,2021-03-04,2020-12-13,checked-in,4900.34,7,3,2023-02-11 21:55:04
Own.,061d73d0-5826-401c-8230-de6c021829b1,47,2021-02-25 15:22:15,2021-05-15,2024-08-05,checked-out,288.39,10,16,2023-01-12 18:07:45
Series.,5d60dd1d-5a59-411a-a6dd-23e51995bc11,31,2021-02-24 08:02:34,2020-05-10,2024-05-11,checked-in,1420.81,2,4,2024-04-26 13:10:02
Each.,029503c8-6a1f-4993-a1fd-7071f5eab91d,6,2024-01-14 00:34:53,2022-08-30,2022-07-24,checked-out,8594.06,10,24,2021-11-27 10:35:16
Able.,af8885ef-7539-47ab-8d3a-09b49373db9d,99,2022-12-16 08:56:26,2021-11-26,2022-03-28,unconfirmed,5895.48,1,22,2023-01-11 21:28:02
Green.,0e202fad-3993-49d1-81c9-e4f98b184046,27,2020-09-27 02:13:29,2020-12-14,2021-06-20,checked-in,5772.09,7,19,2024-01-23 19:30:38
Yard.,5e1f88ee-0adc-4622-92ac-f4f8fafd2450,40,2020-08-28 04:22:29,2022-04-13,2024-03-01,checked-in,9038.83,3,19,2020-02-05 16:25:49
Toward.,3e8f6927-f147-4854-9968-0e2ead4e0966,82,2020-04-07 09:47:40,2020-01-13,2022-06-20,unconfirmed,2299.55,8,17,2020-07-28 07:25:56
Modern.,65374397-faa8-4f2b-877b-67cf6cbfc796,80,2020-01-31 21:19:59,2021-07-12,2021-08-27,checked-out,2270.88,1,12,2023-12-27 18:46:47
Then.,e7986d0a-362f-44c8-9b59-d21513183616,96,2023-10-01 16:54:34,2022-02-17,2023-12-20,unconfirmed,6375.31,4,14,2020-01-27 23:43:55
Pick.,9fd2ea0f-a6d6-4bae-a5c3-a517da51481b,12,2023-12-07 14:53:21,2022-04-08,2023-07-08,checked-in,7900.42,3,9,2021-03-04 13:21:12
School.,f64dca2f-fbb4-44d0-aa97-54612eced7e6,48,2024-08-02 11:07:25,2020-09-22,2024-06-14,checked-in,5606.8,4,16,2023-05-27 20:18:29
Religious.,2f9962ce-2017-41cb-a7da-8fc6322009c2,2,2023-03-23 07:40:25,2023-09-08,2024-01-15,checked-in,6525.03,7,21,2020-10-16 04:58:48
Nice long.,23b781f5-6d0e-410e-8a4a-2fb4b57274bc,74,2023-03-26 13:49:54,2022-02-14,2020-11-24,unconfirmed,9720.38,6,25,2022-05-30 00:09:03
Design.,ef5d5cb5-b794-4477-90f2-2d79d009d231,21,2021-12-05 11:32:52,2021-04-01,2020-12-07,checked-in,8184.38,3,8,2020-07-17 08:53:37
Crime.,7f75d78d-f71a-45bf-bfc9-75d6dd4f1b6a,8,2021-02-26 15:29:29,2023-04-11,2020-03-11,checked-out,3758.06,7,9,2023-05-17 19:33:32
Home away.,e3e6d682-8d9e-4da2-bdb5-37e511b2577a,26,2020-04-23 20:43:16,2022-12-29,2024-01-04,checked-out,7707.52,8,23,2022-01-10 06:16:47
Building.,bb68e1ee-33cf-4b27-9048-f5dffd086207,97,2023-09-25 23:12:41,2024-02-16,2022-10-25,checked-in,5804.62,6,3,2024-07-11 04:48:45
House.,66bad57a-ecff-40b8-9379-f3f70e1a25ee,45,2021-10-11 05:52:22,2024-01-06,2024-05-13,unconfirmed,8271.19,3,24,2024-04-21 08:29:03
Whom rule.,d66c7989-3946-4546-882a-2adaa0ce8b64,59,2023-04-20 18:08:08,2022-11-10,2023-08-16,checked-in,3670.89,9,6,2020-07-18 13:54:59
Never.,a69990b5-eaf4-46d4-b598-b4f911a71353,23,2023-08-21 10:35:04,2022-07-16,2021-11-16,checked-in,9277.61,4,30,2023-08-04 00:20:53
Finish.,9296ea18-b253-4d39-bde2-abff6b8bc6d7,84,2020-04-07 23:56:09,2021-10-26,2021-08-13,checked-out,7286.81,4,7,2022-05-08 11:51:11
Against.,4ad6678a-2fda-420f-8ddb-3302b78483d6,97,2023-05-17 22:34:01,2022-05-08,2020-05-30,checked-out,5186.81,6,30,2021-10-08 17:55:35
Make us.,cd65c3cb-7b56-47ef-b39e-12f3c5b10846,100,2021-05-22 12:52:03,2020-01-28,2020-07-17,checked-in,7319.36,7,10,2024-04-01 12:42:40
Despite.,746a9dbd-304c-49ac-86eb-4f044f23c471,8,2024-06-11 14:07:28,2021-04-29,2021-08-16,checked-out,1512.3,8,5,2024-01-11 14:39:42
Anyone.,1fb0bb90-dcd7-45a2-8409-1913ea610f9e,34,2022-07-20 12:43:08,2024-03-25,2022-09-10,checked-in,8050.89,10,21,2020-11-09 06:36:31
Mention.,97ccbed1-2b7d-4a47-bed5-2b1d30fa2322,22,2021-12-17 19:39:05,2022-12-26,2020-12-17,checked-in,6729.84,4,25,2022-08-14 09:07:28
Full size.,cfafa331-fb48-47e9-bbd8-2b0e885f5681,92,2020-11-08 09:37:42,2021-07-06,2024-08-01,checked-out,1418.61,4,25,2023-05-27 03:09:19
Blue.,974a0a34-1327-4c18-af0f-487747528960,93,2020-05-19 00:29:11,2021-12-11,2024-02-19,checked-out,7192.35,9,23,2021-05-04 08:47:27
Up town.,cd6e2795-fc47-4a4d-91e8-de076d03e050,42,2020-06-28 10:19:25,2022-01-31,2021-07-15,unconfirmed,4614.14,8,1,2022-04-19 04:10:46
Grow.,910597c9-a8f5-4be5-b933-c3b358ce8158,44,2020-09-15 13:45:02,2022-12-15,2023-11-21,unconfirmed,1517.87,1,29,2020-12-12 01:11:13
Data.,e425c022-5aec-493a-80c9-22f497ceab4b,72,2021-08-25 11:07:50,2023-10-26,2024-08-05,unconfirmed,8733.99,10,23,2023-12-09 22:37:30
Blue.,fab914ea-198c-4a4a-bd89-0125a36d0b93,49,2023-11-09 12:24:19,2023-08-17,2023-05-22,checked-out,1669.6,2,13,2022-08-10 23:47:16
Among.,2d87aa0b-744f-444d-b316-186b693b6451,67,2024-03-08 05:44:45,2023-08-02,2022-09-19,checked-in,6134.61,5,16,2022-10-31 11:31:44
Spring.,b1eaa7d6-594c-46d9-96b8-c572570071eb,69,2022-02-12 20:56:13,2021-10-11,2021-06-22,checked-out,7914.29,3,2,2020-01-21 03:19:35
Send.,38c3beae-2b2d-4d06-ad55-573d0c006e59,41,2022-01-02 01:05:58,2022-04-06,2020-07-30,checked-in,5543.25,10,7,2023-03-24 05:03:55
Involve.,0d946ab9-b630-4ac0-9912-c3c392b65a61,3,2020-11-07 03:34:37,2022-11-09,2021-01-07,checked-in,1090.16,10,16,2021-10-12 12:52:23
Training.,8418f6f3-f137-4cf0-80d1-1b95664b3833,81,2022-08-28 07:53:17,2023-08-04,2023-10-17,checked-in,2942.59,1,2,2023-06-19 05:34:09
Sell.,c70a8d35-f609-4267-95b7-c4172e36ffe9,85,2020-02-24 05:27:48,2023-05-19,2020-01-10,checked-out,9948.66,4,22,2024-07-14 00:21:15
Answer.,22600de4-15d1-4db7-9319-e7a11ef86de7,100,2022-12-10 15:53:22,2021-07-11,2021-10-27,unconfirmed,658.76,7,14,2024-01-13 23:15:56
According.,af86c97f-519d-4f85-a3a4-fe4e48831671,35,2022-02-09 00:05:32,2023-10-03,2021-05-28,checked-in,3527.1,4,23,2022-08-29 14:16:56
Put.,3a63595b-d31b-4dc3-89be-0d1f461e466b,19,2023-06-01 14:05:02,2021-09-06,2023-03-06,checked-out,7167.81,3,8,2022-07-15 08:57:37
Modern.,379b02b6-856f-4d3b-90cf-e6bdb502ed9b,82,2024-08-08 03:21:36,2022-01-01,2023-10-04,unconfirmed,1627.38,6,10,2022-05-01 03:05:23
Represent.,83d8688e-9b62-4abb-8863-0e31f757fc20,35,2021-04-04 22:43:48,2022-02-03,2024-07-23,unconfirmed,7827.75,5,19,2021-05-03 05:00:32
Water.,a25a1ce9-68f0-4ad1-a87b-59bbf3fb0d0d,48,2022-06-04 12:31:46,2023-10-27,2024-01-18,unconfirmed,575.36,10,19,2021-11-05 07:17:35
Page.,ae2148b9-290a-40a7-adaf-80ea936809af,13,2021-11-12 12:35:02,2021-12-31,2022-11-01,checked-out,6093.66,8,22,2021-12-25 17:39:56
Scene.,293868e7-3a55-424a-9a95-480e3d74c483,16,2022-02-26 05:00:39,2024-02-17,2020-04-03,checked-out,270.58,3,26,2020-07-01 20:18:00
General.,50f66e4f-4e05-423b-b6cc-d8d419f8231e,11,2021-03-08 22:02:14,2021-08-23,2022-03-24,unconfirmed,6930.58,3,16,2020-02-14 12:03:59
Without.,88fe38e4-24e8-4ab4-9a1a-bf743668bfc1,80,2024-04-13 15:52:29,2021-12-23,2021-12-29,unconfirmed,7016.37,10,20,2023-02-10 09:51:16
Bar cause.,1faee0e9-3de4-4a05-9eae-6dbc7e0ade3b,83,2020-12-11 04:38:42,2024-02-09,2024-07-30,checked-in,4943.15,7,25,2020-08-28 11:59:41
Notice.,ed354b3b-fdf8-4a9f-a26b-aa4dc846193d,37,2020-11-08 09:03:52,2022-12-07,2023-05-28,unconfirmed,9316.82,3,2,2022-07-09 11:11:12
Beautiful.,3c4e947d-44ba-4c1a-a1e5-58a7660a0996,38,2022-11-26 09:36:28,2020-05-13,2024-02-07,unconfirmed,9269.36,6,24,2020-05-30 17:42:12
Study.,b8db15c1-9e86-4ba0-881c-244470a6d8bd,29,2023-03-26 11:46:00,2022-11-24,2023-03-03,unconfirmed,7614.12,10,20,2020-05-16 08:12:27
Structure.,eb0c851a-7556-4a1c-b71b-f15deae30974,65,2024-05-04 18:53:49,2020-05-17,2021-11-23,unconfirmed,3343.74,10,7,2022-06-14 02:53:15
Decision.,7a37a170-4695-4026-844e-e5a9d0614d67,21,2020-04-20 04:07:15,2023-10-22,2024-01-18,checked-in,3572.76,2,16,2020-12-07 04:12:09
Score.,045bc07d-540e-480e-aafb-f95406f606a5,78,2023-07-03 05:37:53,2024-02-20,2023-05-12,unconfirmed,5280.21,5,19,2021-06-24 21:53:09
Mother.,ea267015-02a0-43e3-b847-d906d9e20448,62,2020-03-20 10:28:21,2023-03-19,2021-09-10,checked-out,7192.43,3,27,2022-06-02 06:35:05
We.,95be8f5f-d521-43ca-a403-9db9be1eb3d9,84,2021-12-15 15:35:55,2020-06-28,2022-06-07,unconfirmed,4622.43,3,3,2021-11-01 19:36:22
Begin cup.,64942872-d71c-4dc1-a33f-87fbb3429735,84,2022-10-24 08:23:08,2023-06-24,2023-05-25,checked-out,6786.29,1,25,2021-05-25 03:53:21
Unit.,56120a15-d9c1-4cec-ba2e-178f185614de,80,2023-05-31 17:51:05,2020-10-16,2023-12-21,checked-in,2592.28,2,26,2022-07-23 19:59:18
Hand.,2d18246e-dac5-418d-8550-c013362728f4,88,2022-09-25 03:32:18,2020-05-27,2020-02-04,unconfirmed,7206.3,2,10,2023-02-22 12:22:20
Company.,aae604f1-b906-4a0a-9dd3-ec1ab9da82bb,8,2023-11-23 08:37:19,2020-10-05,2023-06-12,checked-in,2586.99,6,14,2023-12-10 20:06:29
Once.,c70276b6-7c30-4cc0-804a-9143e96d7292,100,2023-03-30 05:17:13,2023-03-08,2021-12-18,unconfirmed,1785.34,3,19,2022-11-19 16:46:06
Station.,a236f540-a79d-499a-b485-d47643ffd9b7,66,2023-05-09 14:30:51,2021-03-13,2020-12-29,checked-out,6905.19,6,21,2020-04-03 05:04:27
Own.,e6de0e84-9fc3-4891-8d84-e30e9adbc32b,86,2022-10-23 11:51:38,2022-06-28,2023-03-18,checked-out,8036.83,6,3,2023-12-14 20:32:33
Live.,0d6892f1-7876-4252-86f2-3c09fd9266c4,81,2020-12-26 23:39:56,2021-10-19,2020-08-20,checked-out,3354.22,10,10,2023-09-13 10:53:25
Must.,833c0095-b944-403a-b5e4-bdf40ca83e22,91,2023-07-15 08:49:43,2022-10-04,2021-05-09,checked-out,2704.84,3,18,2022-11-19 23:34:07
Name.,422d30f3-ec8b-4811-af02-cee4d7165903,19,2024-01-22 01:43:00,2021-08-31,2024-01-22,checked-in,6666.82,9,20,2024-02-15 11:25:32
Mother.,43c06b4e-6de8-4315-a134-28978c605607,23,2022-09-06 12:42:28,2023-01-27,2021-01-06,checked-in,5477.08,8,9,2021-10-06 01:19:05
Rich.,ef5fb64f-6688-4dcb-946e-54a8f62221f8,27,2024-06-06 10:11:19,2020-10-05,2023-05-01,checked-out,7560.66,8,17,2021-12-19 06:29:18
Teacher.,4c3cca88-5150-494e-9c55-c092f6cecd6a,8,2023-06-15 19:18:42,2023-11-08,2021-04-03,unconfirmed,1824.34,7,30,2022-06-17 09:32:20
Hospital.,385faf27-812d-48c8-acb3-96484c19b62e,90,2022-12-31 18:02:34,2021-04-07,2021-11-11,checked-in,1812.17,7,14,2020-08-05 15:12:00
Hour beat.,dd25ddf8-6052-480a-a5c8-778b525b3ac7,13,2022-05-25 15:28:18,2020-12-14,2021-11-29,unconfirmed,5325.65,4,11,2022-08-22 09:47:17
Foreign.,17aed2e1-da2d-460a-af15-2f510d26872b,98,2020-02-05 22:41:05,2020-08-28,2020-06-21,checked-out,3245.92,1,6,2022-03-04 22:01:05
Market.,00f3dfd0-a663-415a-a816-6c85a9c70f4b,52,2024-07-28 12:57:06,2020-07-31,2022-10-02,unconfirmed,9216.64,5,13,2020-08-15 07:46:57
Wait.,8c100896-c806-4f89-8520-65ff3f5029e2,62,2020-03-25 01:36:17,2023-04-24,2023-04-07,unconfirmed,4743.39,10,24,2022-12-04 08:52:13
Well.,ad436c84-ddb8-4109-816b-3a670b16d83a,26,2020-04-10 03:21:26,2020-02-03,2020-04-13,unconfirmed,9945.35,3,24,2023-07-14 16:16:23
Word girl.,192f9e54-3076-4ebb-a331-cde13e13504b,61,2023-06-28 16:41:36,2023-09-30,2021-07-20,unconfirmed,2396.95,6,25,2022-02-04 06:26:08
Admit his.,8ae27848-bc9b-47c9-9840-67007cc3a959,14,2023-06-20 03:36:44,2023-02-24,2024-07-18,checked-in,7306.88,8,11,2023-04-13 08:49:47
Defense.,ece717e4-0528-435e-9d5e-083703eceb63,10,2020-12-12 14:21:20,2021-10-20,2023-04-15,checked-in,5361.45,4,9,2021-10-30 02:17:36
Adult Mrs.,eef0755c-6194-46f8-8144-3c0d05efdaaf,62,2022-06-17 00:00:27,2020-06-02,2023-07-13,unconfirmed,3898.76,8,29,2022-09-08 23:46:45
Color.,c6b42080-1ae7-4585-a369-c88ad284249f,3,2023-02-18 11:50:31,2020-05-19,2023-09-03,checked-out,4801.9,3,18,2021-07-29 02:19:06
Challenge.,15aacf84-9f0d-47db-b66d-e8e5d21387d1,32,2021-06-06 02:25:55,2020-12-27,2021-07-06,unconfirmed,3426.8,7,24,2024-04-09 07:37:08
One power.,a38a2e7c-bcb3-468a-b6d6-796048fb507b,81,2022-05-13 20:49:44,2021-01-24,2020-02-02,checked-out,9507.6,6,20,2022-12-17 02:06:53
